BRANCH_CITY,BRANCH_CODE,BRANCH_NAME,BRANCH_STATE,BRANCH_STREET,BRANCH_ZIP,LAST_UPDATED,BRANCH_PHONE
Lakeville,1,"Example Bank",MN,"Bridle Court",55044,2018-04-18T16:51:47.000-04:00,(123)456-5276
Huntley,2,"Example Bank",IL,"Washington Street",60142,2018-04-18T16:51:47.000-04:00,(123)461-8993
SouthRichmondHill,3,"Example Bank",NY,"Warren Street",11419,2018-04-18T16:51:47.000-04:00,(123)498-5926
Middleburg,4,"Example Bank",FL,"Cleveland Street",32068,2018-04-18T16:51:47.000-04:00,(123)466-3064
KingOfPrussia,5,"Example Bank",PA,"14th Street",19406,2018-04-18T16:51:47.000-04:00,(123)484-9701
Paterson,7,"Example Bank",NJ,"Jefferson Street",7501,2018-04-18T16:51:47.000-04:00,(123)414-4890
Pittsford,8,"Example Bank",NY,"B Street",14534,2018-04-18T16:51:47.000-04:00,(123)467-8272
Wethersfield,9,"Example Bank",CT,"Jefferson Court",6109,2018-04-18T16:51:47.000-04:00,(123)467-5219
NorthOlmsted,10,"Example Bank",OH,"Cambridge Road",44070,2018-04-18T16:51:47.000-04:00,(123)414-5047
Hillsborough,11,"Example Bank",NJ,"3rd Street West",8844,2018-04-18T16:51:47.000-04:00,(123)436-6354
MadisonHeights,12,"Example Bank",MI,"Mill Road",48071,2018-04-18T16:51:47.000-04:00,(123)486-7175
Oviedo,14,"Example Bank",FL,"Washington Street",32765,2018-04-18T16:51:47.000-04:00,(123)493-8460
Mechanicsburg,15,"Example Bank",PA,"Chestnut Street",17050,2018-04-18T16:51:47.000-04:00,(123)446-2043
Plainview,16,"Example Bank",NY,"Monroe Drive",11803,2018-04-18T16:51:47.000-04:00,(123)485-7525
Paducah,17,"Example Bank",KY,"Railroad Street",42001,2018-04-18T16:51:47.000-04:00,(123)454-6360
Harleysville,18,"Example Bank",PA,"Church Street South",19438,2018-04-18T16:51:47.000-04:00,(123)482-4455
SilverSpring,19,"Example Bank",MD,"King Street",20901,2018-04-18T16:51:47.000-04:00,(123)448-4380
Burnsville,20,"Example Bank",MN,"Canterbury Drive",55337,2018-04-18T16:51:47.000-04:00,(123)484-0138
Tacoma,21,"Example Bank",WA,"2nd Avenue",98444,2018-04-18T16:51:47.000-04:00,(123)436-2433
Carlisle,22,"Example Bank",PA,"Front Street South",17013,2018-04-18T16:51:47.000-04:00,(123)492-2492
Duarte,23,"Example Bank",CA,"Highland Avenue",91010,2018-04-18T16:51:47.000-04:00,(123)446-0645
Redford,24,"Example Bank",MI,"Grove Street",48239,2018-04-18T16:51:47.000-04:00,(123)461-7414
NewBaltimore,25,"Example Bank",MI,"Park Avenue",48047,2018-04-18T16:51:47.000-04:00,(123)452-5844
LakeJackson,26,"Example Bank",TX,"Chestnut Avenue",77566,2018-04-18T16:51:47.000-04:00,(123)435-6462
WinstonSalem,27,"Example Bank",NC,"Pin Oak Drive",27103,2018-04-18T16:51:47.000-04:00,(123)483-6200
Midlothian,28,"Example Bank",VA,"3rd Street West",23112,2018-04-18T16:51:47.000-04:00,(123)441-6595
Glendora,29,"Example Bank",CA,"School Street",91740,2018-04-18T16:51:47.000-04:00,(123)478-5605
SouthLyon,30,"Example Bank",MI,"Shady Lane",48178,2018-04-18T16:51:47.000-04:00,(123)491-5717
Carrollton,31,"Example Bank",GA,"Queen Street",30117,2018-04-18T16:51:47.000-04:00,(123)414-8639
Helena,32,"Example Bank",MT,"Aspen Court",59601,2018-04-18T16:51:47.000-04:00,(123)430-2170
Loganville,35,"Example Bank",GA,"Durham Road",30052,2018-04-18T16:51:47.000-04:00,(123)431-6769
ElDorado,36,"Example Bank",AR,"Spruce Avenue",71730,2018-04-18T16:51:47.000-04:00,(123)468-5988
CapeCoral,37,"Example Bank",FL,"Lawrence Street",33904,2018-04-18T16:51:47.000-04:00,(123)477-1676
Starkville,38,"Example Bank",MS,"7th Street",39759,2018-04-18T16:51:47.000-04:00,(123)481-0167
Grandville,39,"Example Bank",MI,"Devonshire Drive",49418,2018-04-18T16:51:47.000-04:00,(123)420-9297
Jonesboro,40,"Example Bank",GA,"Franklin Avenue",30236,2018-04-18T16:51:47.000-04:00,(123)429-5270
Youngstown,42,"Example Bank",OH,"Elmwood Avenue",44512,2018-04-18T16:51:47.000-04:00,(123)423-7878
Houston,43,"Example Bank",TX,"Ashley Court",77016,2018-04-18T16:51:47.000-04:00,(123)475-5992
Greenville,44,"Example Bank",NC,"12th Street East",27834,2018-04-18T16:51:47.000-04:00,(123)473-6019
Wilmette,45,"Example Bank",IL,"Bayberry Drive",60091,2018-04-18T16:51:47.000-04:00,(123)445-3475
Levittown,46,"Example Bank",NY,"Jones Street",11756,2018-04-18T16:51:47.000-04:00,(123)494-7541
NewBerlin,47,"Example Bank",WI,"Route 10",53151,2018-04-18T16:51:47.000-04:00,(123)487-3625
Bartlett,48,"Example Bank",IL,"Cedar Avenue",60103,2018-04-18T16:51:47.000-04:00,(123)410-5725
Chambersburg,49,"Example Bank",PA,"11th Street",17201,2018-04-18T16:51:47.000-04:00,(123)415-6589
Granger,50,"Example Bank",IN,"Fairway Drive",46530,2018-04-18T16:51:47.000-04:00,(123)411-5442
Lombard,51,"Example Bank",IL,"Route 20",60148,2018-04-18T16:51:47.000-04:00,(123)413-2382
ElPaso,52,"Example Bank",TX,"Fulton Street",79930,2018-04-18T16:51:47.000-04:00,(123)424-5465
Dundalk,53,"Example Bank",MD,"Manor Drive",21222,2018-04-18T16:51:47.000-04:00,(123)432-3802
RedondoBeach,54,"Example Bank",CA,"Oak Lane",90278,2018-04-18T16:51:47.000-04:00,(123)445-2537
Rowlett,56,"Example Bank",TX,"State Street East",75088,2018-04-18T16:51:47.000-04:00,(123)485-2596
Hartsville,57,"Example Bank",SC,"New Street",29550,2018-04-18T16:51:47.000-04:00,(123)477-3812
Rossville,58,"Example Bank",GA,"Hickory Street",30741,2018-04-18T16:51:47.000-04:00,(123)433-5491
Waxhaw,59,"Example Bank",NC,"Country Lane",28173,2018-04-18T16:51:47.000-04:00,(123)484-1134
Richmond,60,"Example Bank",VA,"Front Street",23223,2018-04-18T16:51:47.000-04:00,(123)452-4034
Oxford,63,"Example Bank",MS,"York Street",38655,2018-04-18T16:51:47.000-04:00,(123)437-2027
Syosset,66,"Example Bank",NY,"Winding Way",11791,2018-04-18T16:51:47.000-04:00,(123)465-6568
Baltimore,67,"Example Bank",MD,"Jackson Avenue",21206,2018-04-18T16:51:47.000-04:00,(123)443-2768
Fenton,69,"Example Bank",MI,"Amherst Street",48430,2018-04-18T16:51:47.000-04:00,(123)467-0647
Medford,70,"Example Bank",MA,"Briarwood Court",2155,2018-04-18T16:51:47.000-04:00,(123)498-2393
Stow,72,"Example Bank",OH,"Essex Court",44224,2018-04-18T16:51:47.000-04:00,(123)444-5988
Oconomowoc,73,"Example Bank",WI,"Maple Lane",53066,2018-04-18T16:51:47.000-04:00,(123)484-5883
Dearborn,74,"Example Bank",MI,"Evergreen Drive",48124,2018-04-18T16:51:47.000-04:00,(123)427-3715
Rockaway,75,"Example Bank",NJ,"9th Street",7866,2018-04-18T16:51:47.000-04:00,(123)420-4383
WinterSprings,76,"Example Bank",FL,"8th Avenue",32708,2018-04-18T16:51:47.000-04:00,(123)451-3234
UpperMarlboro,77,"Example Bank",MD,"Grant Avenue",20772,2018-04-18T16:51:47.000-04:00,(123)448-9272
Mundelein,78,"Example Bank",IL,"Heather Court",60060,2018-04-18T16:51:47.000-04:00,(123)416-4452
Bettendorf,79,"Example Bank",IA,"George Street",52722,2018-04-18T16:51:47.000-04:00,(123)439-4450
Enterprise,80,"Example Bank",AL,"Court Street",36330,2018-04-18T16:51:47.000-04:00,(123)422-8258
Simpsonville,81,"Example Bank",SC,"Summer Street",29680,2018-04-18T16:51:47.000-04:00,(123)458-3583
Brookfield,83,"Example Bank",WI,"Creekside Drive",53045,2018-04-18T16:51:47.000-04:00,(123)424-2554
LaCrosse,85,"Example Bank",WI,"Brown Street",54601,2018-04-18T16:51:47.000-04:00,(123)478-5116
BuffaloGrove,89,"Example Bank",IL,"Chapel Street",60089,2018-04-18T16:51:47.000-04:00,(123)475-0836
Chillicothe,90,"Example Bank",OH,"Tanglewood Drive",45601,2018-04-18T16:51:47.000-04:00,(123)489-0424
Davenport,91,"Example Bank",IA,"Lafayette Avenue",52804,2018-04-18T16:51:47.000-04:00,(123)475-9319
Poughkeepsie,93,"Example Bank",NY,"Harrison Street",12601,2018-04-18T16:51:47.000-04:00,(123)488-5339
Apopka,95,"Example Bank",FL,"Madison Street",32703,2018-04-18T16:51:47.000-04:00,(123)466-7289
Seymour,99,"Example Bank",IN,"Bridge Street",47274,2018-04-18T16:51:47.000-04:00,(123)416-4581
Wellington,100,"Example Bank",FL,"New Street",33414,2018-04-18T16:51:47.000-04:00,(123)480-9695
SiouxCity,103,"Example Bank",IA,"Grant Street",51106,2018-04-18T16:51:47.000-04:00,(123)448-3865
Owosso,104,"Example Bank",MI,"Cambridge Court",48867,2018-04-18T16:51:47.000-04:00,(123)490-9907
LongBranch,105,"Example Bank",NJ,"Virginia Avenue",7740,2018-04-18T16:51:47.000-04:00,(123)472-3165
Defiance,107,"Example Bank",OH,"Delaware Avenue",43512,2018-04-18T16:51:47.000-04:00,(123)446-4046
Ames,109,"Example Bank",IA,"Edgewood Drive",50010,2018-04-18T16:51:47.000-04:00,(123)447-4482
Kernersville,111,"Example Bank",NC,"River Street",27284,2018-04-18T16:51:47.000-04:00,(123)436-9108
PalmCity,114,"Example Bank",FL,"Madison Street",34990,2018-04-18T16:51:47.000-04:00,(123)417-2062
MurrellsInlet,115,"Example Bank",SC,"Jefferson Street",29576,2018-04-18T16:51:47.000-04:00,(123)490-8194
Canonsburg,117,"Example Bank",PA,"Route 64",15317,2018-04-18T16:51:47.000-04:00,(123)419-7777
